	S_THA	THA	S_ARG	ARG	S_AME	AME	S_QAT	QAT	S_SPA	SPA	S_FRA	FRA	S_GBR	GBR	S_ARA	ARA	S_ITA	ITA	S_NED	NED	S_GER	GER	S_CZE	CZE	S_AUT	AUT	S_HUN	HUN	S_CAT	CAT	S_RSM	RSM	S_JPN	JPN	S_INA	INA	S_AUS	AUS	S_MAL	MAL	S_POR	POR	S_VAL	VAL	Pts
Miller	Ret	11	11	13	14	5	19	Ret	Ret	Ret	11	Ret	9	7	13	14	16	Ret	14	14	5	8	12	10	17	18	12	Ret	12	14	14	12	Ret	Ret	11	14	4	Ret	14	14	14	12	12	9	79
Vinales	14	16	18	12	Ret	14	10	14	7	4	5	5	13	11	7	18	4	Ret	6	5	DNS	DNS	DNP	DNP	DNS	DNS	DNP	DNP	17	13	15	Ret	16	16	DNS	DNS	DNP	DNP	DNP	DNP	DNP	DNP	18	Ret	72
Rins	17	17	12	11	15	11	12	12	15	13	8	12	20	13	14	11	18	15	15	13	15	10	18	15	16	16	16	13	15	Ret	17	Ret	18	18	12	10	13	7	15	13	17	13	15	14	68
Oliveira	16	14	Ret	DNS	DNP	DNP	DNP	DNP	DNP	DNP	20	Ret	16	16	15	15	13	13	12	Ret	11	Ret	13	17	18	17	14	12	10	9	16	9	15	14	9	11	14	12	Ret	19	16	14	17	11	43
Martin	DNP	DNP	DNP	DNP	DNP	DNP	16	Ret	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	11	7	10	Ret	9	4	Ret	10	8	13	Ret	DNS	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	22	Ret	34
P_Espargaro	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	9	9	DNP	DNP	10	8	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	9	10	11	DNP	10	10	DNP	DNP	29
Nakagami	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	16	6	DNP	DNP	DNP	DNP	15	16	DNP	DNP	DNP	DNP	Ret	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	14	Ret	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	10
Savadori	20	20	Ret	DNS	20	15	DNP	DNP	19	18	18	9	18	18	18	17	17	17	17	Ret	18	Ret	DNP	DNP	DNP	DNP	DNP	DNP	Ret	Ret	DNP	DNP	DNP	DNP	DNP	DNP	16	16	18	16	18	16	DNP	DNP	8
A_Fernandez	DNP	DNP	DNP	DNP	18	13	18	Ret	17	16	DNP	DNP	DNP	DNP	Ret	13	DNP	DNP	DNP	DNP	DNP	DNP	Ret	18	DNP	DNP	DNP	DNP	DNP	DNP	18	14	DNP	DNP	DNP	DNP	DNP	DNP	19	18	DNP	DNP	20	16	8
Chantra	19	18	17	18	19	16	20	18	20	Ret	DNP	DNP	21	19	19	16	19	18	19	15	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	18	16	19	15	17	15	Ret	13	18	17	17	15	Ret	17	21	17	7
Bulega	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	Ret	15	16	15	2
A_Espargaro	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	18	17	DNP	DNP	17	Ret	DNP	DNP	DNP	DNP	18	16	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	16	17	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	19	Ret	0
Pirro	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	DNP	20	18	20	17	DNP	DNP	DNP	DNP	0
